Name,CLARK Y AIRFOIL
Chord(mm),120
Radius(mm),0
Thickness(%),100
Origin(%),25
Pitch(deg),3
,
Airfoil surface,
X(mm),Y(mm)
89.880422,-4.638419
88.696949,-4.291641
87.513443,-3.945487
86.329867,-3.600675
85.146185,-3.257888
82.778368,-2.580954
80.409867,-1.917083
78.040707,-1.265770
75.670917,-0.626476
73.300489,0.000630
70.929399,0.615117
68.557627,1.216578
66.185152,1.804642
63.811958,2.378972
61.438034,2.939390
59.063374,3.485739
56.687968,4.017875
54.311813,4.535703
51.934894,5.038959
49.557151,5.526505
47.178513,5.996950
44.798905,6.448904
42.418258,6.881026
40.036505,7.292057
37.653629,7.681649
35.269625,8.049706
32.884490,8.396205
30.498222,8.721062
28.110806,9.024025
25.722168,9.303680
23.332208,9.558086
20.940824,9.785336
18.547915,9.983503
16.153403,10.151052
13.757354,10.289289
11.359897,10.400671
8.961163,10.487666
6.561279,10.552719
4.160305,10.596981
1.757831,10.612626
-0.646750,10.588055
-3.054059,10.511439
-5.464732,10.370639
-7.879351,10.154534
-10.298031,9.860955
-12.720709,9.491078
-15.147663,9.039604
-17.579684,8.491459
-20.017639,7.830069
-22.462543,7.036093
-23.689046,6.561818
-24.919726,6.007827
-26.156434,5.338819
-27.402822,4.485120
-28.408705,3.634750
-28.913942,3.165777
-29.423500,2.614346
-29.682773,2.252864
-29.815643,2.010437
-29.884279,1.847234
-29.958886,1.570079
-29.928297,1.007307
-29.876367,0.851760
-29.768272,0.621447
-29.545566,0.285174
-29.089924,-0.192158
-28.627457,-0.539290
-27.689492,-0.984870
-26.505790,-1.327285
-25.319465,-1.619633
-24.130681,-1.865078
-22.939124,-2.057603
-20.550777,-2.342806
-18.159838,-2.578553
-15.766800,-2.774227
-13.371829,-2.933040
-10.975207,-3.060348
-8.577205,-3.161316
-6.178087,-3.240978
-3.778103,-3.304138
-1.377458,-3.354679
1.023660,-3.396197
3.425061,-3.432310
5.826555,-3.466637
8.227985,-3.502199
10.629337,-3.539259
13.030636,-3.577313
15.431909,-3.615871
17.833182,-3.654417
20.234477,-3.692555
22.635794,-3.730274
25.037124,-3.767741
27.438462,-3.805065
29.839799,-3.842388
32.241131,-3.879832
34.642456,-3.917383
37.043778,-3.955006
39.445099,-3.992653
41.846419,-4.030312
44.247741,-4.067935
46.649064,-4.105534
49.050388,-4.143121
51.451713,-4.180684
53.853037,-4.218259
56.254361,-4.255834
58.655685,-4.293421
61.057009,-4.331008
63.458333,-4.368596
65.859657,-4.406183
68.260980,-4.443770
70.662304,-4.481357
73.063628,-4.518944
75.464952,-4.556531
77.866275,-4.594118
80.267599,-4.631705
82.668923,-4.669292
85.070247,-4.706879
86.270908,-4.725679
87.471570,-4.744478
88.672232,-4.763266
89.872894,-4.782054
,
Camber line,
X(mm),Y(mm)
-29.958886,1.570079
-29.906288,1.427270
-29.846005,1.431098
-29.725523,1.437155
-29.484533,1.449760
-29.001933,1.486809
-28.518081,1.547730
-27.546157,1.750125
-26.331112,2.005767
-25.119595,2.194097
-23.909863,2.348370
-22.700834,2.489245
-20.284208,2.743631
-17.869761,2.956453
-15.457231,3.132688
-13.046269,3.279019
-10.636619,3.400304
-8.228278,3.496609
-5.821409,3.564830
-3.416081,3.603651
-1.012104,3.616688
1.390745,3.608215
3.792683,3.582336
6.193917,3.543041
8.594574,3.492733
10.994617,3.430706
13.393995,3.355988
15.792656,3.267590
18.190549,3.164543
20.587650,3.046391
22.984001,2.913906
25.379646,2.767969
27.774634,2.609480
30.169011,2.439337
32.562811,2.258187
34.956041,2.066162
37.348704,1.863321
39.740802,1.649702
42.132338,1.425357
44.523323,1.190485
46.913788,0.945708
49.303769,0.691692
51.693303,0.429138
54.082425,0.158722
56.471165,-0.118979
58.859530,-0.403841
61.247522,-0.695809
63.635145,-0.994812
66.022404,-1.300770
68.409303,-1.613596
70.795852,-1.933120
73.182058,-2.259157
75.567934,-2.591504
77.953491,-2.929944
80.338733,-3.274394
82.723646,-3.625123
85.108216,-3.982384
86.300388,-4.163177
87.492507,-4.344983
88.684591,-4.527454
89.876658,-4.710236
,
Chord line,
X(mm),Y(mm)
-29.958886,1.570079
89.876658,-4.710236
