Name,NACA 0010
Chord(mm),120
Radius(mm),0
Thickness(%),100
Origin(%),25
Pitch(deg),3
,
Airfoil surface,
X(mm),Y(mm)
89.883252,-4.584409
83.927085,-3.590925
77.968907,-2.635790
66.046900,-0.833370
54.117733,0.832438
42.181281,2.359236
30.235974,3.717066
18.279110,4.854398
6.305919,5.680158
0.311001,5.934256
-5.691453,6.044551
-11.703766,5.966705
-17.730274,5.618030
-20.751409,5.293299
-23.781086,4.805592
-26.826212,4.023089
-28.361838,3.382580
-29.958886,1.570079
-28.560045,-0.399430
-27.099783,-1.196947
-24.153132,-2.293466
-21.191031,-3.095189
-18.220390,-3.733936
-12.263342,-4.710642
-6.292102,-5.416520
-0.311001,-5.934256
5.677636,-6.308190
17.671553,-6.738492
29.681799,-6.857223
41.703600,-6.755456
53.734257,-6.484721
65.772199,-6.074976
77.817300,-5.528620
83.842677,-5.201515
89.870064,-4.836063
,
Camber line,
X(mm),Y(mm)
-29.958886,1.570079
-28.460942,1.491575
-26.962997,1.413071
-23.967109,1.256063
-20.971220,1.099055
-17.975332,0.942047
-11.983554,0.628031
-5.991777,0.314016
0.000000,0.000000
5.991777,-0.314016
17.975332,-0.942047
29.958886,-1.570079
41.942440,-2.198110
53.925995,-2.826142
65.909549,-3.454173
77.893104,-4.082205
83.884881,-4.396220
89.876658,-4.710236
,
Chord line,
X(mm),Y(mm)
-29.958886,1.570079
89.876658,-4.710236
